age,education_years,hours_per_week,occupation,marital,sex,income_high
23,12,40,Sales,Never married,0,0
60,14,25,Office & Admin,Married,0,0
50,18,30,Education/Legal/Arts/Social,Married,0,0
61,14,36,Sales,Divorced,1,0
34,16,20,Service (food/clean/care/protective),Never married,0,0
17,11,16,Blue-collar (build/repair/prod/transport),Never married,0,0
55,16,40,Management/Business/Finance,Married,1,1
29,14,40,Healthcare,Never married,0,0
31,14,30,Healthcare,Never married,0,0
31,16,40,Computing/Engineering/Science,Never married,1,1
51,12,40,Office & Admin,Married,0,0
49,11,40,Blue-collar (build/repair/prod/transport),Married,1,1
39,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
59,19,35,Sales,Divorced,0,0
37,16,40,Management/Business/Finance,Married,1,1
23,14,26,Blue-collar (build/repair/prod/transport),Never married,0,0
62,16,55,Management/Business/Finance,Widowed,1,1
60,11,50,Blue-collar (build/repair/prod/transport),Married,1,1
27,14,40,Sales,Never married,0,0
56,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
22,14,35,Sales,Married,0,0
58,14,40,Blue-collar (build/repair/prod/transport),Divorced,1,0
43,19,60,Healthcare,Married,1,1
41,12,20,Healthcare,Married,0,0
23,14,20,Blue-collar (build/repair/prod/transport),Never married,1,0
25,12,32,Office & Admin,Never married,0,0
59,16,45,Education/Legal/Arts/Social,Married,0,1
32,12,30,Service (food/clean/care/protective),Never married,1,0
24,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
36,6,25,Service (food/clean/care/protective),Married,0,0
25,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
60,14,40,Office & Admin,Married,0,1
46,16,40,Management/Business/Finance,Never married,1,1
22,14,30,Sales,Never married,1,0
19,12,99,Military/Other,Never married,1,0
21,14,18,Blue-collar (build/repair/prod/transport),Never married,1,0
45,16,40,Management/Business/Finance,Married,0,1
31,18,40,Sales,Married,0,0
25,16,40,Computing/Engineering/Science,Never married,0,1
64,18,20,Education/Legal/Arts/Social,Widowed,0,0
47,12,40,Office & Admin,Married,0,0
42,16,40,Management/Business/Finance,Married,0,0
36,13,60,Sales,Never married,1,1
28,14,50,Education/Legal/Arts/Social,Divorced,0,1
19,14,25,Service (food/clean/care/protective),Never married,0,0
37,11,32,Blue-collar (build/repair/prod/transport),Married,1,0
39,14,60,Management/Business/Finance,Married,1,0
79,9,40,Blue-collar (build/repair/prod/transport),Married,1,1
61,13,40,Sales,Married,1,0
28,18,40,Service (food/clean/care/protective),Married,1,1
50,16,40,Management/Business/Finance,Married,0,1
31,13,25,Service (food/clean/care/protective),Married,1,0
26,16,40,Education/Legal/Arts/Social,Married,0,1
26,12,42,Service (food/clean/care/protective),Never married,1,0
35,16,40,Management/Business/Finance,Married,0,1
37,18,50,Service (food/clean/care/protective),Never married,0,1
42,12,40,Healthcare,Never married,0,0
35,18,10,Education/Legal/Arts/Social,Married,0,0
32,14,40,Healthcare,Married,1,1
42,14,40,Management/Business/Finance,Never married,0,1
54,16,30,Education/Legal/Arts/Social,Married,0,0
43,0,40,Service (food/clean/care/protective),Married,1,0
59,12,24,Sales,Married,0,0
49,14,68,Management/Business/Finance,Separated,1,1
51,9,65,Blue-collar (build/repair/prod/transport),Married,1,1
64,11,50,Sales,Divorced,0,1
30,16,57,Computing/Engineering/Science,Married,0,1
62,11,50,Blue-collar (build/repair/prod/transport),Widowed,1,0
20,14,25,Service (food/clean/care/protective),Never married,0,0
48,16,40,Management/Business/Finance,Married,0,1
59,18,40,Healthcare,Married,0,0
33,16,45,Management/Business/Finance,Never married,1,1
38,16,20,Service (food/clean/care/protective),Married,1,0
42,18,80,Management/Business/Finance,Married,0,1
56,14,35,Office & Admin,Married,0,0
46,18,60,Education/Legal/Arts/Social,Married,0,1
36,21,50,Computing/Engineering/Science,Married,1,1
32,14,40,Office & Admin,Divorced,0,0
22,16,30,Education/Legal/Arts/Social,Never married,0,0
53,16,40,Sales,Married,0,0
24,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
40,18,30,Education/Legal/Arts/Social,Married,1,0
56,14,40,Computing/Engineering/Science,Married,1,1
60,21,50,Education/Legal/Arts/Social,Married,1,1
41,0,40,Blue-collar (build/repair/prod/transport),Never married,1,0
40,16,50,Education/Legal/Arts/Social,Divorced,1,1
17,10,1,Service (food/clean/care/protective),Never married,1,0
41,12,40,Management/Business/Finance,Separated,1,0
67,18,35,Education/Legal/Arts/Social,Married,1,1
37,18,40,Management/Business/Finance,Never married,0,1
55,12,25,Office & Admin,Divorced,0,0
41,14,40,Management/Business/Finance,Married,0,0
32,16,70,Management/Business/Finance,Married,1,1
60,18,40,Education/Legal/Arts/Social,Married,0,1
25,14,35,Office & Admin,Never married,0,0
25,18,40,Computing/Engineering/Science,Never married,0,1
23,14,18,Service (food/clean/care/protective),Never married,0,0
55,12,40,Service (food/clean/care/protective),Married,1,0
36,14,40,Management/Business/Finance,Married,1,1
46,18,50,Management/Business/Finance,Divorced,1,1
31,14,40,Office & Admin,Divorced,1,0
22,14,40,Blue-collar (build/repair/prod/transport),Never married,1,0
51,16,50,Management/Business/Finance,Married,1,1
28,14,40,Service (food/clean/care/protective),Never married,1,0
69,16,4,Blue-collar (build/repair/prod/transport),Married,1,1
67,14,10,Education/Legal/Arts/Social,Married,0,0
28,12,40,Service (food/clean/care/protective),Never married,1,0
27,14,40,Education/Legal/Arts/Social,Never married,1,0
45,16,40,Computing/Engineering/Science,Married,1,1
60,11,4,Service (food/clean/care/protective),Never married,1,0
22,16,5,Education/Legal/Arts/Social,Never married,0,0
59,12,40,Office & Admin,Married,0,0
20,13,55,Blue-collar (build/repair/prod/transport),Never married,1,0
57,0,40,Blue-collar (build/repair/prod/transport),Married,1,1
63,16,40,Management/Business/Finance,Married,1,1
44,19,40,Education/Legal/Arts/Social,Divorced,0,1
51,9,40,Blue-collar (build/repair/prod/transport),Married,1,0
23,16,20,Education/Legal/Arts/Social,Never married,0,0
63,19,45,Education/Legal/Arts/Social,Never married,1,1
20,14,3,Blue-collar (build/repair/prod/transport),Never married,0,0
22,11,13,Blue-collar (build/repair/prod/transport),Never married,0,0
56,12,40,Management/Business/Finance,Divorced,1,1
54,13,30,Education/Legal/Arts/Social,Married,0,0
41,13,40,Blue-collar (build/repair/prod/transport),Married,1,0
37,18,40,Office & Admin,Divorced,0,1
34,12,40,Computing/Engineering/Science,Divorced,1,1
51,14,40,Healthcare,Divorced,0,1
18,12,32,Service (food/clean/care/protective),Never married,1,0
22,12,20,Blue-collar (build/repair/prod/transport),Never married,1,0
59,12,40,Service (food/clean/care/protective),Married,1,0
27,16,40,Service (food/clean/care/protective),Never married,0,0
18,12,6,Service (food/clean/care/protective),Never married,0,0
61,14,40,Blue-collar (build/repair/prod/transport),Married,0,0
30,21,40,Computing/Engineering/Science,Married,1,1
53,14,40,Office & Admin,Married,1,0
23,14,8,Sales,Never married,1,0
28,14,60,Blue-collar (build/repair/prod/transport),Divorced,1,1
59,12,35,Blue-collar (build/repair/prod/transport),Married,1,0
62,16,42,Management/Business/Finance,Separated,1,1
47,14,46,Service (food/clean/care/protective),Never married,0,1
35,21,40,Computing/Engineering/Science,Married,1,1
37,14,50,Management/Business/Finance,Married,1,1
45,14,15,Blue-collar (build/repair/prod/transport),Married,0,0
65,18,45,Sales,Married,1,1
22,16,22,Sales,Never married,0,0
44,0,40,Blue-collar (build/repair/prod/transport),Married,1,0
64,14,50,Office & Admin,Divorced,0,0
87,16,4,Education/Legal/Arts/Social,Married,0,0
27,16,40,Education/Legal/Arts/Social,Never married,0,0
34,16,40,Office & Admin,Never married,0,0
22,16,40,Computing/Engineering/Science,Never married,1,0
54,0,40,Blue-collar (build/repair/prod/transport),Never married,1,0
59,18,60,Computing/Engineering/Science,Married,1,1
17,12,20,Education/Legal/Arts/Social,Never married,1,0
34,16,40,Computing/Engineering/Science,Never married,1,1
74,19,6,Education/Legal/Arts/Social,Married,0,1
31,19,45,Education/Legal/Arts/Social,Never married,0,1
36,16,40,Computing/Engineering/Science,Married,1,1
55,0,45,Management/Business/Finance,Married,1,0
50,12,27,Blue-collar (build/repair/prod/transport),Never married,1,0
22,16,5,Service (food/clean/care/protective),Never married,1,0
27,16,45,Computing/Engineering/Science,Never married,0,1
28,18,40,Management/Business/Finance,Married,0,0
63,16,50,Management/Business/Finance,Married,1,1
41,6,40,Blue-collar (build/repair/prod/transport),Married,0,0
62,12,40,Office & Admin,Married,0,1
22,14,18,Sales,Never married,0,0
56,18,50,Education/Legal/Arts/Social,Divorced,0,1
36,14,32,Service (food/clean/care/protective),Never married,1,1
36,16,50,Office & Admin,Married,0,0
19,12,40,Healthcare,Never married,0,0
20,12,20,Service (food/clean/care/protective),Never married,0,0
42,6,33,Blue-collar (build/repair/prod/transport),Divorced,0,0
25,16,30,Education/Legal/Arts/Social,Never married,1,0
38,12,40,Management/Business/Finance,Divorced,0,0
50,14,50,Sales,Married,1,1
53,12,40,Management/Business/Finance,Married,0,0
39,0,40,Service (food/clean/care/protective),Never married,1,0
24,16,20,Healthcare,Never married,0,0
37,14,45,Computing/Engineering/Science,Married,1,1
49,18,40,Education/Legal/Arts/Social,Married,1,1
54,16,40,Computing/Engineering/Science,Married,0,0
59,11,40,Service (food/clean/care/protective),Married,1,0
53,19,60,Education/Legal/Arts/Social,Married,1,1
27,16,40,Sales,Never married,1,0
31,13,40,Sales,Divorced,1,0
55,18,40,Management/Business/Finance,Separated,1,1
39,6,40,Service (food/clean/care/protective),Married,1,0
51,6,40,Blue-collar (build/repair/prod/transport),Married,1,0
50,12,40,Blue-collar (build/repair/prod/transport),Married,1,1
32,14,40,Computing/Engineering/Science,Married,1,1
44,0,40,Healthcare,Never married,0,0
41,21,45,Education/Legal/Arts/Social,Married,1,1
63,12,40,Office & Admin,Married,0,1
64,16,40,Computing/Engineering/Science,Married,1,0
46,8,36,Service (food/clean/care/protective),Married,0,0
57,11,40,Blue-collar (build/repair/prod/transport),Divorced,1,0
35,14,25,Healthcare,Married,0,0
35,14,40,Management/Business/Finance,Married,0,1
57,16,40,Blue-collar (build/repair/prod/transport),Married,1,0
24,16,39,Office & Admin,Never married,0,0
49,18,40,Computing/Engineering/Science,Married,0,1
37,12,40,Office & Admin,Married,0,0
37,11,30,Sales,Separated,0,0
61,16,40,Computing/Engineering/Science,Married,1,1
50,8,70,Blue-collar (build/repair/prod/transport),Married,1,0
66,12,40,Computing/Engineering/Science,Married,1,1
37,11,40,Blue-collar (build/repair/prod/transport),Married,1,1
37,19,40,Management/Business/Finance,Married,0,1
21,14,50,Service (food/clean/care/protective),Never married,1,0
60,12,40,Service (food/clean/care/protective),Never married,1,0
35,14,43,Office & Admin,Divorced,0,1
58,14,40,Management/Business/Finance,Married,0,1
56,16,40,Management/Business/Finance,Married,1,1
30,14,40,Office & Admin,Married,0,0
47,14,42,Office & Admin,Married,0,0
28,6,40,Blue-collar (build/repair/prod/transport),Married,0,0
32,18,40,Management/Business/Finance,Never married,1,1
41,18,35,Blue-collar (build/repair/prod/transport),Married,0,1
22,12,20,Education/Legal/Arts/Social,Never married,0,0
49,12,50,Blue-collar (build/repair/prod/transport),Married,1,0
28,12,40,Sales,Never married,1,0
65,18,40,Education/Legal/Arts/Social,Never married,0,1
42,11,50,Office & Admin,Married,0,0
61,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
26,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
41,14,40,Sales,Married,0,0
24,16,30,Office & Admin,Never married,1,0
32,12,40,Blue-collar (build/repair/prod/transport),Never married,0,0
54,19,20,Education/Legal/Arts/Social,Divorced,0,1
17,10,20,Blue-collar (build/repair/prod/transport),Never married,1,0
39,12,40,Service (food/clean/care/protective),Separated,0,0
48,16,55,Service (food/clean/care/protective),Married,1,1
37,11,36,Service (food/clean/care/protective),Separated,0,0
33,14,40,Service (food/clean/care/protective),Never married,1,0
28,16,35,Education/Legal/Arts/Social,Never married,0,0
27,14,40,Office & Admin,Never married,0,0
28,12,40,Blue-collar (build/repair/prod/transport),Never married,1,1
57,18,40,Management/Business/Finance,Never married,1,1
71,16,40,Office & Admin,Married,0,0
23,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
52,16,30,Healthcare,Divorced,0,0
53,16,30,Management/Business/Finance,Married,1,0
51,16,36,Healthcare,Married,0,1
57,13,10,Service (food/clean/care/protective),Married,1,0
30,14,40,Blue-collar (build/repair/prod/transport),Never married,0,1
45,12,25,Blue-collar (build/repair/prod/transport),Married,0,0
49,12,35,Service (food/clean/care/protective),Separated,1,0
26,14,40,Office & Admin,Never married,1,0
46,14,72,Healthcare,Never married,1,0
37,18,40,Education/Legal/Arts/Social,Married,1,1
63,14,39,Office & Admin,Married,0,0
18,12,15,Blue-collar (build/repair/prod/transport),Never married,1,0
43,16,50,Management/Business/Finance,Divorced,1,1
67,16,40,Management/Business/Finance,Married,1,1
58,14,40,Service (food/clean/care/protective),Married,0,0
72,16,60,Management/Business/Finance,Divorced,1,1
50,14,40,Blue-collar (build/repair/prod/transport),Married,0,0
37,4,30,Service (food/clean/care/protective),Never married,0,0
34,16,55,Management/Business/Finance,Divorced,1,1
78,12,16,Office & Admin,Divorced,0,0
55,12,34,Blue-collar (build/repair/prod/transport),Divorced,1,0
28,12,33,Sales,Married,0,0
25,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
20,14,20,Healthcare,Never married,1,0
54,14,40,Blue-collar (build/repair/prod/transport),Married,1,1
47,10,40,Blue-collar (build/repair/prod/transport),Married,0,0
59,14,25,Management/Business/Finance,Divorced,1,0
30,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
47,18,40,Service (food/clean/care/protective),Married,1,1
18,12,20,Sales,Never married,0,0
59,18,42,Education/Legal/Arts/Social,Divorced,0,1
22,14,19,Military/Other,Never married,1,0
47,14,50,Management/Business/Finance,Married,1,1
52,12,45,Healthcare,Married,0,0
33,18,40,Office & Admin,Never married,1,1
59,12,24,Blue-collar (build/repair/prod/transport),Married,0,0
40,0,40,Blue-collar (build/repair/prod/transport),Married,0,0
36,16,40,Management/Business/Finance,Never married,1,1
72,16,72,Management/Business/Finance,Married,1,1
52,14,40,Blue-collar (build/repair/prod/transport),Married,0,0
28,18,40,Computing/Engineering/Science,Married,1,1
29,0,40,Sales,Never married,0,0
44,14,36,Healthcare,Separated,0,0
67,14,32,Office & Admin,Divorced,0,0
65,16,20,Sales,Widowed,0,0
50,16,50,Computing/Engineering/Science,Married,1,1
27,14,15,Education/Legal/Arts/Social,Never married,0,0
24,14,16,Service (food/clean/care/protective),Never married,1,0
36,16,40,Computing/Engineering/Science,Married,0,1
39,18,40,Sales,Never married,1,1
18,12,10,Sales,Never married,0,0
17,6,40,Office & Admin,Never married,0,1
55,12,30,Management/Business/Finance,Married,1,1
60,16,30,Management/Business/Finance,Married,0,1
63,14,20,Blue-collar (build/repair/prod/transport),Married,1,1
36,16,40,Management/Business/Finance,Married,1,0
29,16,44,Healthcare,Divorced,0,0
60,12,40,Service (food/clean/care/protective),Married,0,0
42,8,40,Blue-collar (build/repair/prod/transport),Married,1,0
61,14,40,Blue-collar (build/repair/prod/transport),Married,1,0
30,18,60,Management/Business/Finance,Never married,0,1
43,3,25,Service (food/clean/care/protective),Married,1,0
62,14,40,Blue-collar (build/repair/prod/transport),Married,1,1
66,13,15,Education/Legal/Arts/Social,Married,0,0
32,13,80,Computing/Engineering/Science,Divorced,1,1
27,16,60,Management/Business/Finance,Never married,1,1
53,12,40,Sales,Never married,0,1
19,14,27,Service (food/clean/care/protective),Never married,1,0
71,18,40,Computing/Engineering/Science,Married,1,1
20,14,18,Sales,Never married,0,0
52,21,40,Computing/Engineering/Science,Married,0,1
44,8,40,Blue-collar (build/repair/prod/transport),Divorced,1,0
35,16,40,Sales,Married,1,1
52,14,36,Office & Admin,Married,0,0
22,16,20,Healthcare,Never married,0,0
58,18,40,Computing/Engineering/Science,Married,1,1
60,18,40,Education/Legal/Arts/Social,Married,0,1
25,14,35,Service (food/clean/care/protective),Never married,0,0
34,18,48,Education/Legal/Arts/Social,Married,0,1
61,21,60,Management/Business/Finance,Married,0,1
57,12,40,Sales,Married,0,0
47,19,32,Education/Legal/Arts/Social,Married,0,1
33,14,30,Healthcare,Never married,0,0
19,12,45,Blue-collar (build/repair/prod/transport),Married,1,0
31,18,50,Service (food/clean/care/protective),Married,1,1
57,6,40,Blue-collar (build/repair/prod/transport),Married,1,0
19,14,20,Sales,Never married,1,0
41,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
55,12,40,Service (food/clean/care/protective),Married,0,0
22,14,30,Blue-collar (build/repair/prod/transport),Never married,0,0
26,16,40,Healthcare,Never married,0,0
24,13,35,Office & Admin,Married,0,0
56,16,52,Blue-collar (build/repair/prod/transport),Married,0,1
53,0,20,Blue-collar (build/repair/prod/transport),Never married,1,0
38,16,40,Computing/Engineering/Science,Married,1,1
57,18,38,Computing/Engineering/Science,Never married,1,1
39,13,35,Service (food/clean/care/protective),Never married,1,1
23,14,30,Sales,Never married,0,0
46,14,40,Service (food/clean/care/protective),Divorced,1,0
55,14,40,Office & Admin,Married,0,0
57,16,40,Management/Business/Finance,Married,1,1
51,0,40,Blue-collar (build/repair/prod/transport),Married,1,0
54,16,40,Office & Admin,Married,0,0
24,13,40,Service (food/clean/care/protective),Never married,1,0
45,11,50,Office & Admin,Married,1,1
59,14,40,Blue-collar (build/repair/prod/transport),Married,1,1
21,14,40,Office & Admin,Never married,0,0
56,18,20,Computing/Engineering/Science,Divorced,0,1
48,18,9,Service (food/clean/care/protective),Married,0,0
70,16,55,Management/Business/Finance,Married,1,1
49,16,40,Education/Legal/Arts/Social,Married,0,0
24,9,40,Blue-collar (build/repair/prod/transport),Married,1,0
42,14,40,Service (food/clean/care/protective),Never married,1,1
65,19,40,Education/Legal/Arts/Social,Married,1,1
71,18,40,Education/Legal/Arts/Social,Widowed,1,0
58,14,60,Blue-collar (build/repair/prod/transport),Married,1,1
49,18,60,Education/Legal/Arts/Social,Married,1,1
71,16,20,Management/Business/Finance,Separated,1,1
34,16,48,Blue-collar (build/repair/prod/transport),Married,1,0
21,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
66,18,8,Education/Legal/Arts/Social,Divorced,0,0
39,16,40,Office & Admin,Married,1,0
65,21,40,Education/Legal/Arts/Social,Married,1,1
68,12,40,Blue-collar (build/repair/prod/transport),Widowed,0,0
47,16,40,Computing/Engineering/Science,Married,1,1
64,13,40,Education/Legal/Arts/Social,Divorced,0,1
54,12,60,Computing/Engineering/Science,Divorced,1,1
18,12,20,Office & Admin,Never married,0,0
47,6,40,Blue-collar (build/repair/prod/transport),Married,1,0
44,18,38,Computing/Engineering/Science,Married,1,1
36,16,40,Education/Legal/Arts/Social,Never married,0,1
46,14,40,Healthcare,Married,0,0
27,18,40,Office & Admin,Never married,0,0
26,16,40,Education/Legal/Arts/Social,Never married,0,0
51,18,60,Computing/Engineering/Science,Married,1,1
29,12,40,Management/Business/Finance,Married,1,0
59,0,40,Blue-collar (build/repair/prod/transport),Married,1,0
32,16,44,Management/Business/Finance,Married,1,1
38,18,38,Education/Legal/Arts/Social,Never married,0,1
62,19,40,Service (food/clean/care/protective),Widowed,1,0
62,13,40,Office & Admin,Married,1,1
24,14,40,Blue-collar (build/repair/prod/transport),Never married,1,0
62,14,64,Healthcare,Divorced,0,0
48,14,40,Management/Business/Finance,Married,0,1
60,12,20,Healthcare,Married,0,0
57,13,48,Service (food/clean/care/protective),Married,0,0
26,16,40,Healthcare,Never married,0,0
67,14,40,Healthcare,Married,0,1
48,16,40,Sales,Never married,0,0
30,11,40,Blue-collar (build/repair/prod/transport),Never married,1,0
48,6,40,Blue-collar (build/repair/prod/transport),Married,0,0
27,16,36,Management/Business/Finance,Never married,0,0
62,14,40,Office & Admin,Divorced,0,1
64,14,50,Computing/Engineering/Science,Married,1,1
42,13,40,Blue-collar (build/repair/prod/transport),Married,1,0
30,16,40,Sales,Never married,1,1
74,14,32,Sales,Divorced,0,0
48,14,40,Service (food/clean/care/protective),Married,1,0
31,14,40,Healthcare,Married,1,1
56,16,40,Office & Admin,Married,0,0
20,14,13,Service (food/clean/care/protective),Never married,0,0
19,11,10,Service (food/clean/care/protective),Never married,1,0
27,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
23,14,40,Blue-collar (build/repair/prod/transport),Never married,1,0
39,18,40,Healthcare,Married,0,1
45,16,40,Management/Business/Finance,Married,0,0
41,12,40,Office & Admin,Divorced,0,0
60,12,23,Healthcare,Divorced,0,0
62,12,40,Service (food/clean/care/protective),Married,1,0
56,16,50,Healthcare,Never married,1,0
39,18,40,Blue-collar (build/repair/prod/transport),Married,1,1
22,14,38,Office & Admin,Never married,0,0
66,16,40,Office & Admin,Married,0,0
55,14,40,Service (food/clean/care/protective),Married,0,0
52,14,40,Blue-collar (build/repair/prod/transport),Married,0,0
56,16,40,Management/Business/Finance,Widowed,0,1
29,16,45,Management/Business/Finance,Never married,1,1
28,14,40,Service (food/clean/care/protective),Never married,1,0
47,14,20,Blue-collar (build/repair/prod/transport),Separated,0,0
49,16,42,Sales,Married,0,1
65,14,30,Blue-collar (build/repair/prod/transport),Separated,1,0
28,14,18,Healthcare,Never married,0,0
56,8,40,Service (food/clean/care/protective),Married,0,0
26,6,40,Blue-collar (build/repair/prod/transport),Married,1,0
61,16,40,Sales,Widowed,0,0
46,13,20,Management/Business/Finance,Married,0,0
46,12,50,Service (food/clean/care/protective),Married,1,0
50,16,60,Management/Business/Finance,Separated,1,1
19,12,40,Healthcare,Never married,0,0
61,14,40,Computing/Engineering/Science,Married,1,0
29,14,40,Sales,Married,1,0
64,10,24,Education/Legal/Arts/Social,Widowed,0,0
64,14,50,Blue-collar (build/repair/prod/transport),Married,1,0
28,14,40,Management/Business/Finance,Married,0,0
69,16,15,Education/Legal/Arts/Social,Married,1,1
19,13,14,Service (food/clean/care/protective),Never married,1,0
38,11,40,Service (food/clean/care/protective),Never married,1,0
57,13,30,Education/Legal/Arts/Social,Married,0,0
50,14,50,Office & Admin,Married,1,1
52,16,50,Management/Business/Finance,Married,0,0
24,16,30,Blue-collar (build/repair/prod/transport),Never married,1,0
32,14,25,Service (food/clean/care/protective),Never married,1,0
68,19,16,Healthcare,Married,1,0
23,16,50,Computing/Engineering/Science,Never married,1,1
61,13,36,Blue-collar (build/repair/prod/transport),Married,1,0
27,14,40,Service (food/clean/care/protective),Married,1,1
52,12,60,Blue-collar (build/repair/prod/transport),Never married,1,1
45,8,40,Blue-collar (build/repair/prod/transport),Separated,0,0
23,18,10,Office & Admin,Never married,1,0
44,16,48,Healthcare,Divorced,0,1
43,16,45,Education/Legal/Arts/Social,Separated,0,0
61,13,80,Healthcare,Married,1,1
40,16,50,Blue-collar (build/repair/prod/transport),Married,1,1
53,12,40,Sales,Married,0,0
26,16,40,Sales,Never married,1,0
23,16,40,Management/Business/Finance,Never married,0,0
53,14,40,Management/Business/Finance,Married,1,0
30,14,40,Office & Admin,Never married,0,0
20,14,34,Sales,Never married,0,0
74,16,4,Management/Business/Finance,Married,1,0
47,14,50,Blue-collar (build/repair/prod/transport),Married,1,1
71,18,40,Education/Legal/Arts/Social,Never married,0,1
37,16,40,Management/Business/Finance,Married,1,1
52,12,40,Sales,Never married,1,0
42,12,40,Blue-collar (build/repair/prod/transport),Married,1,0
37,16,20,Computing/Engineering/Science,Married,0,0
38,11,40,Blue-collar (build/repair/prod/transport),Married,0,0
63,16,40,Management/Business/Finance,Married,0,1
20,12,20,Sales,Never married,1,0
48,13,60,Blue-collar (build/repair/prod/transport),Married,1,1
50,16,40,Office & Admin,Separated,0,0
43,14,40,Office & Admin,Never married,0,1
37,14,40,Healthcare,Married,0,0
59,8,40,Blue-collar (build/repair/prod/transport),Married,1,0
25,16,48,Computing/Engineering/Science,Never married,1,0
54,18,16,Sales,Married,0,1
38,12,40,Blue-collar (build/repair/prod/transport),Married,1,1
34,16,40,Computing/Engineering/Science,Married,1,1
47,16,24,Sales,Never married,1,0
27,14,42,Computing/Engineering/Science,Married,1,1
20,14,40,Service (food/clean/care/protective),Never married,1,0
46,18,10,Healthcare,Divorced,0,0
53,14,48,Healthcare,Never married,0,0
59,14,50,Management/Business/Finance,Never married,1,0
56,12,40,Service (food/clean/care/protective),Divorced,0,0
18,13,35,Sales,Married,0,0
25,16,40,Education/Legal/Arts/Social,Never married,0,0
53,18,50,Education/Legal/Arts/Social,Divorced,0,1
27,18,40,Healthcare,Never married,1,0
78,14,30,Management/Business/Finance,Married,1,1
43,16,40,Management/Business/Finance,Married,1,1
34,14,30,Healthcare,Never married,1,0
53,18,40,Management/Business/Finance,Never married,0,0
29,16,20,Education/Legal/Arts/Social,Never married,1,0
57,16,15,Management/Business/Finance,Married,0,0
46,13,50,Management/Business/Finance,Married,1,1
33,12,50,Management/Business/Finance,Married,1,0
46,13,72,Management/Business/Finance,Married,1,0
56,16,55,Healthcare,Married,1,0
56,12,25,Service (food/clean/care/protective),Divorced,0,0
21,14,30,Blue-collar (build/repair/prod/transport),Never married,1,0
23,12,40,Management/Business/Finance,Married,0,0
45,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
32,16,40,Computing/Engineering/Science,Married,1,1
19,12,50,Blue-collar (build/repair/prod/transport),Never married,1,0
38,16,40,Office & Admin,Never married,0,1
75,16,40,Sales,Married,1,1
32,19,32,Healthcare,Married,0,1
25,18,40,Computing/Engineering/Science,Never married,1,0
52,12,50,Service (food/clean/care/protective),Married,0,0
44,14,40,Management/Business/Finance,Married,0,1
47,16,40,Management/Business/Finance,Divorced,0,1
63,12,12,Sales,Married,0,0
64,16,35,Healthcare,Never married,0,1
23,12,25,Blue-collar (build/repair/prod/transport),Never married,1,0
45,12,55,Sales,Never married,1,0
23,12,50,Military/Other,Never married,1,0
54,12,40,Blue-collar (build/repair/prod/transport),Married,1,1
30,14,35,Service (food/clean/care/protective),Married,0,0
18,13,40,Service (food/clean/care/protective),Never married,0,0
27,12,40,Office & Admin,Never married,1,0
51,16,24,Education/Legal/Arts/Social,Married,1,0
19,14,12,Blue-collar (build/repair/prod/transport),Never married,0,0
50,0,55,Blue-collar (build/repair/prod/transport),Married,0,0
45,16,45,Computing/Engineering/Science,Married,1,1
24,12,30,Service (food/clean/care/protective),Never married,1,0
36,12,18,Sales,Divorced,0,0
24,16,20,Blue-collar (build/repair/prod/transport),Never married,1,0
54,10,40,Service (food/clean/care/protective),Married,0,0
24,14,40,Office & Admin,Married,0,0
34,16,45,Management/Business/Finance,Married,0,1
61,12,40,Office & Admin,Married,0,0
56,14,16,Healthcare,Married,0,1
49,11,36,Blue-collar (build/repair/prod/transport),Married,1,0
20,12,60,Blue-collar (build/repair/prod/transport),Married,1,0
73,16,15,Education/Legal/Arts/Social,Married,1,1
56,13,40,Office & Admin,Married,0,0
33,14,30,Management/Business/Finance,Never married,0,0
47,14,35,Office & Admin,Married,0,0
38,11,50,Blue-collar (build/repair/prod/transport),Married,1,1
40,6,40,Service (food/clean/care/protective),Never married,1,0
56,18,40,Education/Legal/Arts/Social,Married,0,1
54,16,40,Blue-collar (build/repair/prod/transport),Divorced,1,0
57,12,40,Service (food/clean/care/protective),Separated,0,0
46,8,40,Healthcare,Married,0,0
63,12,40,Blue-collar (build/repair/prod/transport),Divorced,1,1
54,14,40,Education/Legal/Arts/Social,Married,0,1
41,16,99,Service (food/clean/care/protective),Divorced,1,1
52,16,40,Blue-collar (build/repair/prod/transport),Married,1,0
21,14,20,Sales,Never married,0,0
49,13,40,Blue-collar (build/repair/prod/transport),Married,1,0
47,12,15,Service (food/clean/care/protective),Married,0,0
45,18,50,Education/Legal/Arts/Social,Married,1,1
60,14,40,Computing/Engineering/Science,Never married,1,1
